timestamp,symbol,action,signal,reason,price,trade_qty,cash,coin_qty,portfolio_value,ema_short,ema_long,rsi,adx,atr,funding,fg,ob_imbalance,size_mult
2026-08-22T20:13:40.014312+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(28.9),77418.25,0.0,5000.0,0.0,5000.0,77316.0,77252.74,57.77,28.87,150.61,0.0,71,-0.411,1.0
2026-08-22T20:13:40.014312+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(34.9),2439.41,0.0,4984.4589067131,0.0,4984.4589067131,2430.58,2426.71,62.95,34.94,7.27,0.0,71,-0.144,1.0
2026-08-22T20:40:04.124838+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(26.0),77298.15,0.0,5000.0,0.0,5000.0,77327.83,77270.05,51.77,25.95,126.46,0.0,71,0.41,1.0
2026-08-22T20:40:04.124838+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(39.0),2437.91,0.0,4984.4589067131,0.0,4984.4589067131,2433.76,2428.94,60.06,38.99,6.85,0.0,71,-0.179,1.0
2026-08-22T20:57:46.977435+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_WEAK(24.4),77352.18,0.0,5000.0,0.0,5000.0,77332.7,77277.52,54.09,24.37,130.4,0.0,71,-0.568,1.0
2026-08-22T20:57:46.977435+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(40.3),2436.66,0.0,4984.4589067131,0.0,4984.4589067131,2434.34,2429.64,58.52,40.26,6.9,0.0,71,-0.027,1.0
2026-08-22T21:18:09.241267+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_WEAK(24.7),77048.0,0.0,5000.0,0.0,5000.0,77272.4,77259.48,41.26,24.69,129.83,0.0,71,-0.42,1.0
2026-08-22T21:18:09.241267+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(41.2),2412.73,0.0,4984.4589067131,0.0,4984.4589067131,2429.62,2428.28,37.51,41.16,7.61,0.0,71,-0.07,1.0
2026-08-22T21:42:48.479964+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(25.2),77183.47,0.0,5000.0,0.0,5000.0,77254.61,77252.57,47.31,25.21,130.51,0.0,71,-0.827,1.0
2026-08-22T21:42:48.479964+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(40.0),2421.82,0.0,4984.4589067131,0.0,4984.4589067131,2428.06,2427.7,45.61,39.99,7.72,0.0,71,-0.262,1.0
2026-08-22T21:57:37.957078+00:00,BTCUSDT,HOLD,SELL,FILTER_OK:ADX_OK(26.7),77030.33,0.0,5000.0,0.0,5000.0,77209.76,77232.37,42.04,26.72,138.94,0.0,71,0.112,1.0
2026-08-22T21:57:37.957078+00:00,ETHUSDT,HOLD,SELL,FILTER_OK:ADX_OK(39.7),2416.44,0.0,4984.4589067131,0.0,4984.4589067131,2425.74,2426.67,42.13,39.67,8.35,0.0,71,-0.361,1.0
2026-08-22T22:17:16.796721+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(28.8),77101.69,0.0,5000.0,0.0,5000.0,77131.54,77189.38,46.71,28.77,166.23,0.0,71,-0.013,1.0
2026-08-22T22:17:16.796721+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(37.0),2419.89,0.0,4984.4589067131,0.0,4984.4589067131,2421.66,2424.48,46.64,37.04,9.41,0.0,71,-0.409,1.0
2026-08-22T22:44:26.579905+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(28.9),77048.2,0.0,5000.0,0.0,5000.0,77114.87,77176.55,45.08,28.93,165.63,0.0,71,0.58,1.0
2026-08-22T22:44:26.579905+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(35.1),2423.16,0.0,4984.4589067131,0.0,4984.4589067131,2421.96,2424.36,48.85,35.08,9.47,0.0,71,-0.102,1.0
